TIPO DIA,AÑO,MES,DIA,HORA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA,DEMANDA
DOALF,2022,11,6,16,2479665.0,275922.0,2755587.0,62.39206727278072,0.1592039699708265,20.13565403668982,82.25629362818158,0.0336422910980491,214.71831046524755,18.55772597272378,5061.21,177.36,124.46,2022-11-06 16:00:00,1019.94305
LUNES,2022,4,25,18,2436301.0,272993.0,2709294.0,0.0,-999.0,18.197509934322373,93.7801314327644,0.0967351199242311,0.0,17.68014212927796,3819.07,162.89,117.71,2022-04-25 18:00:00,1332.35589
LUNES,2019,5,20,4,2226665.0,211384.0,2438049.0,0.0,-999.0,16.721438531383086,96.61752881504842,0.2068746321341367,0.0,16.444577976078413,3313.72,120.19,102.44,2019-05-20 04:00:00,777.75
SSS,2019,4,20,16,2217423.0,210607.0,2428030.0,91.54117083808684,0.1739056519071016,20.28948712330573,88.07092241034914,0.6959107959951072,318.84535930775155,19.265085509651858,3160.48,118.86,102.12,2019-04-20 16:00:00,978.81
SABADO,2019,9,28,5,2249986.0,213059.0,2463045.0,0.0,-999.0,16.309326272967,97.6055039676498,1.1883876015257535,0.0,16.119189519476908,3462.01,122.23,103.26,2019-09-28 05:00:00,879.02
LUNES,2023,7,10,0,2528484.0,278062.0,2806546.0,-999.0,-999.0,17.238026788087566,97.46713830095784,0.0829301247868376,-999.0,17.0187773334198,4189.96,173.52,134.45,2023-07-10 00:00:00,899.51483
MIERCOLES,2020,1,22,12,2273229.0,215449.0,2488678.0,548.5660236077147,0.4390458950495002,20.789370247979047,75.17767156699259,0.1849306378727983,938.6892679245768,18.509511451461385,3347.91,122.34,104.24,2020-01-22 12:00:00,1310.32627
JUEVES,2022,10,20,2,2472456.0,275556.0,2748012.0,0.0,-999.0,16.660557060886198,98.84692387078368,1.398671104784113,0.0,16.56903062286482,4815.09,174.12,123.51,2022-10-20 02:00:00,802.70761
DOALF,2022,6,26,1,2448985.0,273876.0,2722861.0,0.0,-999.0,16.83727435957987,98.96955541983228,0.8306041733309192,0.0,16.755517648532187,4129.87,167.21,119.31,2022-06-26 01:00:00,744.03471
JUEVES,2019,4,4,11,2217423.0,210607.0,2428030.0,577.7429165702237,0.4261201962084488,22.98506456674753,66.90696627306912,0.1785109368500389,1026.6982143218988,19.695482831760728,3128.47,118.86,102.12,2019-04-04 11:00:00,1325.02
DOMINGO,2022,10,9,18,2472456.0,275556.0,2748012.0,0.0,-999.0,18.167849536319345,98.21752421386805,0.4219119094094203,0.0,18.02785216003424,4605.29,174.12,123.51,2022-10-09 18:00:00,1082.08639
MARTES,2022,4,26,12,2436301.0,272993.0,2709294.0,623.6303759909408,0.472452664790163,24.048041881021405,63.507771474782736,0.0810184645889298,1018.71809118907,20.36392019470755,3931.74,162.89,117.71,2022-04-26 12:00:00,1399.204
DOVENE,2021,1,3,1,2343177.0,266260.0,2609437.0,0.0,-999.0,16.75118196760451,97.97853869244592,0.378435290830934,0.0,16.591081095270745,3432.5,126.22,105.91,2021-01-03 01:00:00,698.99367
JUEVES,2020,8,6,14,2310289.0,264142.0,2574431.0,570.0676773663773,0.5349974693437113,23.32966850150577,64.12286097782383,0.0450552374485857,773.7337136788673,19.68498816631714,3775.95,123.54,104.96,2020-08-06 14:00:00,1296.85333
